Referee,Team,Games,Total fouls,Shooting,Personal,Technical
Sean Wright,DET,26,16.923076923076923,6.6923076923076925,7.384615384615385,0.34615384615384615
Sean Wright,GSW,35,14.885714285714286,7.628571428571429,4.857142857142857,0.22857142857142856
Sean Wright,HOU,35,14.714285714285714,7.085714285714285,4.885714285714286,0.08571428571428572
Sean Wright,IND,21,15.619047619047619,7.238095238095238,5.190476190476191,0.38095238095238093
Sean Wright,LAC,37,16.675675675675677,7.054054054054054,6.621621621621622,0.21621621621621623
Sean Wright,LAL,30,14.4,6.633333333333334,5,0.3
Sean Wright,MEM,39,16.076923076923077,7.743589743589744,5.641025641025641,0.15384615384615385
Sean Wright,MIA,30,16.566666666666666,7.666666666666667,5.766666666666667,0.26666666666666666
Sean Wright,MIL,49,15.244897959183673,7.1020408163265305,5.387755102040816,0.22448979591836735
Sean Wright,MIN,32,16.28125,8.28125,4.96875,0.09375
Sean Wright,NOP,31,15.258064516129032,8.193548387096774,4.354838709677419,0.1935483870967742
Sean Wright,NYK,37,16.37837837837838,7.891891891891892,5.243243243243243,0.21621621621621623
Sean Wright,OKC,32,15.53125,8.0625,4.96875,0.15625
Sean Wright,ORL,31,16.06451612903226,7.32258064516129,5.967741935483871,0.22580645161290322
Sean Wright,PHI,32,16.1875,7.78125,5.875,0.1875
Sean Wright,PHX,29,16.724137931034484,7.482758620689655,6.448275862068965,0.10344827586206896
Sean Wright,POR,32,15.65625,7.9375,5.15625,0.25
Sean Wright,SAC,35,16.542857142857144,8.085714285714285,5.0285714285714285,0.14285714285714285
Sean Wright,SAS,30,15.3,7.6,4.7,0.3
Sean Wright,TOR,30,14.966666666666667,6.2,6.033333333333333,0.13333333333333333
Sean Wright,UTA,26,15.961538461538462,6.884615384615385,6.076923076923077,0.3076923076923077
Sean Wright,WAS,32,16.65625,8.09375,5.59375,0.25
Sha'Rae Mitchell,ATL,1,7,3,2,0
Sha'Rae Mitchell,BKN,2,9.5,3.5,4.5,0
Sha'Rae Mitchell,BOS,1,13,7,1,1
Sha'Rae Mitchell,CHA,2,10,4.5,3.5,0
Sha'Rae Mitchell,CHI,4,15.25,8.25,4.5,0
Sha'Rae Mitchell,CLE,2,10,5,3.5,0
Sha'Rae Mitchell,DAL,1,11,6,3,0
Sha'Rae Mitchell,DEN,3,11.666666666666666,5.333333333333333,3.3333333333333335,0
Sha'Rae Mitchell,DET,2,10.5,6.5,2,0
Sha'Rae Mitchell,GSW,3,11.666666666666666,7,2,0
Sha'Rae Mitchell,HOU,4,12.25,6.75,4,0
Sha'Rae Mitchell,IND,4,11.25,5.75,3.5,0
Sha'Rae Mitchell,LAC,3,12.666666666666666,8.333333333333334,4,0
Sha'Rae Mitchell,LAL,3,8,4.333333333333333,3.3333333333333335,0
Sha'Rae Mitchell,MEM,5,11.6,5.8,3.6,0
Sha'Rae Mitchell,MIA,2,14,7.5,4.5,0
Sha'Rae Mitchell,MIL,4,8,4,3,0
Sha'Rae Mitchell,MIN,3,10.333333333333334,4.666666666666667,3.6666666666666665,0
Sha'Rae Mitchell,NOP,1,14,8,2,0
Sha'Rae Mitchell,NYK,2,8.5,6,2,0
Sha'Rae Mitchell,OKC,1,12,8,4,0
Sha'Rae Mitchell,ORL,2,11.5,6.5,1,0.5
Sha'Rae Mitchell,PHI,3,12.333333333333334,6.666666666666667,3.3333333333333335,0
Sha'Rae Mitchell,PHX,2,14,6.5,5,0
Sha'Rae Mitchell,POR,3,13,7.333333333333333,2.6666666666666665,0
Sha'Rae Mitchell,SAC,4,11.5,5.75,4.25,0
Sha'Rae Mitchell,SAS,4,13,6.5,3.25,0
Sha'Rae Mitchell,UTA,4,13.25,6.75,4.75,0
Sha'Rae Mitchell,WAS,3,7.333333333333333,4.333333333333333,2.6666666666666665,0
Simone Jelks,ATL,5,11.8,5.8,4.6,0.2
Simone Jelks,BKN,3,12,5.666666666666667,5.333333333333333,0
Simone Jelks,BOS,2,11.5,5,6,0
Simone Jelks,CHA,5,12.4,6.4,4,0
Simone Jelks,CHI,7,12.285714285714286,5.714285714285714,4,0.42857142857142855
Simone Jelks,CLE,1,12,6,6,0
Simone Jelks,DAL,1,6,4,2,0
Simone Jelks,DEN,2,12,4.5,6,0
Simone Jelks,DET,3,9.333333333333334,4.333333333333333,3.6666666666666665,0
Simone Jelks,HOU,5,13.2,6.2,4.2,0.2
Simone Jelks,IND,5,10.6,5.8,3.4,0
Simone Jelks,LAC,5,7.8,3.2,3.8,0
Simone Jelks,LAL,2,10.5,7,2,0
Simone Jelks,MEM,4,10.75,4.75,3,0
Simone Jelks,MIA,5,11,6.4,3,0
Simone Jelks,MIL,2,12,5.5,4.5,0.5
Simone Jelks,MIN,5,12.6,5.8,5.2,0.2
Simone Jelks,NOP,2,9.5,5,4,0
Simone Jelks,NYK,7,10.142857142857142,4.285714285714286,4.142857142857143,0.2857142857142857
Simone Jelks,OKC,3,13.333333333333334,7,4.333333333333333,0.3333333333333333
Simone Jelks,ORL,4,9.75,4.75,2.75,0
Simone Jelks,PHI,4,9.25,3.5,5,0
Simone Jelks,PHX,3,8.333333333333334,4,4,0
Simone Jelks,POR,3,12,7,3,0
Simone Jelks,SAC,4,11.75,5.75,3.5,0.25
Simone Jelks,SAS,3,9.333333333333334,3.6666666666666665,5,0.3333333333333333
Simone Jelks,TOR,4,10.75,5,3.25,0.5
Simone Jelks,UTA,5,11.2,5.2,4.6,0
Simone Jelks,WAS,8,11.125,6,2.75,0.25
Steve Anderson,ATL,4,15,6.5,3,0.25
Steve Anderson,BKN,6,14.666666666666666,8.166666666666666,4,0.16666666666666666
Steve Anderson,BOS,5,13,6.4,4.4,0.4
Steve Anderson,CHA,3,11.333333333333334,6.333333333333333,2.6666666666666665,0.3333333333333333
Steve Anderson,CHI,2,9.5,4.5,2,0.5
Steve Anderson,CLE,4,12.75,5.75,4.25,0.25
Steve Anderson,DAL,3,12.666666666666666,4,4,0
Steve Anderson,DEN,2,13.5,5,3,0.5
Steve Anderson,DET,3,9.666666666666666,6,2,0.3333333333333333
Steve Anderson,GSW,3,12.333333333333334,6.666666666666667,4,0.3333333333333333
Steve Anderson,HOU,3,17.666666666666668,9.333333333333334,5,0
Steve Anderson,IND,2,12,6,2.5,0.5
Steve Anderson,LAC,2,15.5,7,6,0.5
Steve Anderson,LAL,2,9.5,4.5,3.5,0
Steve Anderson,MEM,4,18,8.5,6.25,0.5
Steve Anderson,MIA,2,14,6,5.5,0
Steve Anderson,MIL,5,11.2,4.8,3.4,0.4
Steve Anderson,MIN,5,14.2,6.2,3.6,0.6
Steve Anderson,NOP,5,11.8,6,3,0
Steve Anderson,NYK,2,12,6.5,3.5,0.5
Steve Anderson,OKC,3,14.333333333333334,7.666666666666667,2.3333333333333335,0.3333333333333333
Steve Anderson,ORL,3,10.666666666666666,7.333333333333333,2,0
Steve Anderson,PHI,4,11.25,5.25,3.5,0.5
Steve Anderson,PHX,3,18.666666666666668,8.333333333333334,5.666666666666667,0
Steve Anderson,POR,2,19.5,10,7,0
Steve Anderson,SAS,5,13.4,7,2.6,0.2
Steve Anderson,TOR,3,11.666666666666666,5.333333333333333,3.6666666666666665,0
Steve Anderson,UTA,1,12,5,2,0
Steve Anderson,WAS,1,12,8,1,0
Suyash Mehta,ATL,13,12.384615384615385,6.3076923076923075,3.230769230769231,0.07692307692307693
Suyash Mehta,BKN,13,11.76923076923077,6.384615384615385,3.4615384615384617,0.15384615384615385
Suyash Mehta,BOS,11,12.909090909090908,6.363636363636363,4.363636363636363,0.36363636363636365
Suyash Mehta,CHA,17,11,6.705882352941177,2.235294117647059,0.17647058823529413
Suyash Mehta,CHI,11,11.545454545454545,7.090909090909091,2.5454545454545454,0.2727272727272727
Suyash Mehta,CLE,16,13.6875,6.375,5.125,0.5
Suyash Mehta,DAL,13,12.461538461538462,6.3076923076923075,3.3076923076923075,0.23076923076923078
Suyash Mehta,DEN,4,12.25,6.5,4,0.25
Suyash Mehta,DET,13,12.692307692307692,6.230769230769231,3.8461538461538463,0.3076923076923077
Suyash Mehta,GSW,8,14.25,8.125,3.375,0.25
Suyash Mehta,HOU,12,12.75,6.916666666666667,2.9166666666666665,0.4166666666666667
Suyash Mehta,IND,15,10.666666666666666,5.666666666666667,2.533333333333333,0.4
Suyash Mehta,LAC,8,11.875,6.125,4,0.125
Suyash Mehta,LAL,6,12.833333333333334,7.666666666666667,3,0
Suyash Mehta,MEM,12,13.416666666666666,7.75,3.5833333333333335,0.08333333333333333
Suyash Mehta,MIA,6,13.666666666666666,6.5,4.166666666666667,0.5
Suyash Mehta,MIL,9,12,5.888888888888889,4.111111111111111,0.5555555555555556
Suyash Mehta,MIN,12,12.416666666666666,6.916666666666667,3.3333333333333335,0.25
Suyash Mehta,NOP,4,13,5,4.5,0
Suyash Mehta,NYK,10,12.9,7.1,3.2,0.5
Suyash Mehta,OKC,10,12.3,7.4,2.5,0
Suyash Mehta,ORL,12,11.416666666666666,6.916666666666667,3.4166666666666665,0.3333333333333333
Suyash Mehta,PHI,10,11.5,7.8,2.3,0.1
Suyash Mehta,PHX,10,10.1,4.8,2.9,0.2
Suyash Mehta,POR,7,14.285714285714286,6.285714285714286,4.857142857142857,0
Suyash Mehta,SAC,8,10.625,6.5,2.375,0
Suyash Mehta,SAS,9,12.11111111111111,7,3.4444444444444446,0.1111111111111111
Suyash Mehta,TOR,14,13,6.928571428571429,3.4285714285714284,0.07142857142857142
Suyash Mehta,UTA,7,11.285714285714286,6.428571428571429,3.142857142857143,0.14285714285714285
Suyash Mehta,WAS,20,12.7,7.75,2.75,0.3
Tom Washington,ATL,27,12.814814814814815,6.296296296296297,4.074074074074074,0.14814814814814814
Tom Washington,BKN,25,11.64,6.08,3.88,0.16
Tom Washington,BOS,28,13.285714285714286,6.464285714285714,5.035714285714286,0.10714285714285714
Tom Washington,CHA,21,11.666666666666666,5.571428571428571,4.095238095238095,0.14285714285714285
Tom Washington,CHI,25,12.76,6.76,4.2,0.04
